ROBOTOBIBOK ^^^ ***DELETED*** JOGGING;0000000010061;25.00;0.00;0000000010061;0;CD;OPT;Vytvornia OM;2001;CD 001;Jazz;Digipack / KONIEC NAKŁADU;0.00
ANYWAY ^^^ GOLF CLUB;0000000010078;15.00;11.00;0000000010078;23;CD;ROCKERS;Day After Records;2002;DAY 36;Post Rock;Jewel Case;5.00
FIN FANG FOOM ^^^ TEXTURE;0000000010160;28.00;1.00;0000000010160;23;LP;ROCKERS;;;;;;20.00
ANTENA KRZYKU ^^^ ANTENA KRZYKU 1/2003 (gazeta + cd);0000000010269;8.00;0.00;0000000010269;23;PRASA;ROCKERS;;;;;;4.11
ANTENA KRZYKU ^^^ ANTENA KRZYKU 2/2002 (gazeta + cd);0000000010276;8.00;0.00;0000000010276;23;PRASA;ROCKERS;;;;;;3.76
PLASTIC HEAD ^^^ PROMOCJA;0000000010290;13.00;176.00;0000000010290;23;CD;PLASTIC;;;;Różne;CD Wyprzedaz;5.94
ETUI ^^^ 1CD PRZEZROCZYSTE + FOLIA;0000000010313;0.00;0.00;0000000010313;23;ETUI;ROCKERS;;;;;;0.46
ETUI ^^^ 2CD PRZEZROCZYSTE + FOLIA;0000000010337;2.00;0.00;0000000010337;23;ETUI;;;;;;;0.49
ETUI ^^^ MC;0000000010351;0.00;58.00;0000000010351;23;ETUI;;;;;;;0.25
ETUI ^^^ 1CD PRZEŹROCZYSTY TRAY;0000000010368;0.50;0.00;0000000010368;23;ETUI;;;;;;;0.40
KSU ^^^ ***DELETED*** 21;0000000010511;0.00;0.00;0000000010511;23;CD;ROCKERS;Radio Bieszczady;2001;10511;Punk/Rock;WYCOFANE;0.00
QQRYQ ^^^ PROMOCJA;0000000010665;0.00;0.00;0000000010665;23;MC;ROCKERS;Qqryq;;;Różne;MC Wyprzedaż / Różne Tytuły;6.10
ROCKERS ^^^ PROMOCJA;0000000010672;2.44;0.00;0000000010672;23;MC;ROCKERS;Rockers Publishing;;;Różne;MC Wyprzedaż;1.30
VOLTAIRE ^^^ ***DELETED*** CHOCOLATE;0000000010689;0.00;0.00;0000000010689;23;MC;ROCKERS;Post Post Records/Rockers Publishing;2002;POST 6 POST;Postrock;WYCOFANE;1.40
ANTENA KRZYKU ^^^ ANTENA KRZYKU 1/2002 (gazeta + cd);0000000010702;8.00;0.00;0000000010702;23;PRASA;ROCKERS;;;;;;3.45
WORECZEK FOLIOWY ^^^ CD & DIGI;0000000010733;0.02;2344.00;0000000010733;23;AKCESORIA;SWISSGRAF;Rockers Publishing;2014;10733;Akcesoria;Woreczek foliowy na CD Jewel Case / Digipack;0.10
KARRAMBA ^^^ DEBEZTOFF 1993-2003;0000000010764;0.00;0.00;0000000010764;23;MC;BELLISIMA;Bellisima;2003;MC 02;Rap/HipHop;Do wyczerpania zapasu;2.00
COLLAPSE ^^^ HUMANS;0000000011044;43.00;31.00;0000000011044;23;CD;TRIPSICHOR;Ltg;2004;CDLLG 004;Dark/Electro;;31.37
LUCIANO ^^^ WHAT ARE WE GONA DO?;0000000011068;0.00;0.00;0000000011068;23;LPs;KONKURRENT;Universal Egg;2004;ROOT 10;Dub/Reggae;7';6.64
FREE JAH CHILDREN ^^^ SIS SANAE;0000000011075;13.00;0.00;0000000011075;23;LPs;KONKURRENT;Universal Egg;2004;ROOT 11;Dub/Reggae;7';6.64
ANTENA KRZYKU ^^^ ANTENA KRZYKU 2/2004 (gazeta + cd);0000000011082;8.00;0.00;0000000011082;23;PRASA;ROCKERS;;;;;;6.24
AMA SAY ^^^ SAY AMA;0000000011129;45.00;1.00;0000000011129;23;CD;METAK;Esan Ozenki Records;1994;EO 050;;;19.58
LIN TON TAUN ^^^ NOLA ESAN DEK?;8400000000314;45.00;3.00;0000000011143;23;CD;METAK;Esan Ozenki Records;2004;EO 052;Rock;;19.85
WORECZEK FOLIOWY ^^^ WINYL 12'';0000000011242;0.50;103.00;0000000011242;23;Akcesoria;ROCKERS;;;;;Woreczek filiowy na winyl 12";0.14
SPEAR OF DESTINY ^^^ RELIGION (XL * Koszulka Męska);0000000011341;0.00;2.00;0000000011341;23;ODZIEŻ;PLASTIC;;;TSXL/SR;;;16.74
LESS THAN JAKE ^^^ BONBONS CERISE (L * Koszulka Męska);0000000011365;0.00;1.00;0000000011365;23;ODZIEŻ;PLASTIC;;;TSL/LB;;;4.19
V/A ^^^ PIEŚNI WOJENNE - NA WROGA, ZA KRAJ NAPRZÓD;0000000015547;0.00;0.00;0000000015547;23;CD;MUSICNET;Pao;2002;MSI 016;Worldmusic;;13.50
IRA & KLEZMERS ^^^ SZABES;0000000015677;0.00;0.00;0000000015677;23;CD;MUSICNET;Art. CD;2005;CD 001;Ethno/Folk;Digipack;20.00
IRA & KLEZMERS ^^^ CHANUKE;0000000015806;0.00;0.00;0000000015806;23;CD;MUSICNET;Art. CD;2004;CD 002;Ethno/Folk;Digipack;20.00
PASAŻER ^^^ 17 (Wiosna/Lato 2003);0000000021661;16.00;4.00;0000000021661;23;PRASA;PASAŻER;Pasażer;2003;;Punk/Hardcore;wiosna/lato 2003;9.00
LENIWIEC ^^^ ***DELETED*** UPRZEDZENIA;0000000021722;0.00;0.00;0000000021722;23;MC;PASAŻER;Pasażer;;21722;Punk/Rock;WYCOFANE;6.50
PASAŻER ^^^ 19 (Jesień 2004/Zima 2005);0000000022002;16.00;5.00;0000000022002;23;PRASA;PASAŻER;Pasażer;2004;;Punk/Hardcore;Jesień 2004/Zima 2005;8.00
BUZZOVEN ^^^ UNWILLING TO EXPLAIN;0000000023023;25.00;0.00;0000000023023;23;CDep;NIKT;;;;;;14.25
SCHWARTZENEGGAR ^^^ TAKE YOUR ELBOWS OFF...;0000000023030;40.00;0.00;0000000023030;23;CDep;NIKT;;;;;;22.80
STRAWMAN ^^^ SHOT ME UP;0000000023047;25.00;1.00;0000000023047;23;CDep;NIKT;;;;;;14.25
STRAWMAN ^^^ THE LOTTERY;0000000023337;0.00;1.00;0000000023337;23;CD;NIKT;;;;;;19.00
LESSER OF TWO ^^^ S/T;0000000023375;0.00;1.00;0000000023375;23;CD;NIKT;;;;;;20.90
BUZZOVEN ^^^ TO A FROWN;0000000023382;0.00;0.00;0000000023382;23;CD;NIKT;;;;;;22.80
COUNTERWEIGHT ^^^ THE FLAMES OF VICTORY;0000000023399;0.00;0.00;0000000023399;23;CD;NIKT;;;;;;22.80
V/A ^^^ THE MAKING OF ALLIED ONE TWO THREE;0000000023443;0.00;1.00;0000000023443;23;CD;NIKT;;;;;;22.80
WAT TYLER ^^^ TUMMY;0000000023474;0.00;1.00;0000000023474;23;CD;NIKT;;;;;;25.94
BRAMBORAK ^^^ ANIMAL VOICE;0000000023481;45.00;0.00;0000000023481;23;CD;NIKT;;;;;;27.00
MISERY ^^^ THE EARLY YEARS;0000000023511;45.00;1.00;0000000023511;23;CD;NIKT;;;;;;27.55
TONE, THE ^^^ WIDE EYES AND NONSENSE...;0000000023610;65.00;0.00;0000000023610;23;CD;NIKT;;;;;;34.20
VARUKERS, THE ^^^ MURDER;0000000023627;65.00;0.00;0000000023627;23;CD;NIKT;;;;;;36.28
V/A ^^^ TERMINAL CITY RICOCHET;0000000023641;65.00;0.00;0000000023641;23;CD;NIKT;;;;;;40.09
AUS ROTTEN ^^^ DISCOGRAPHY CD: NO ONE SINGLE...;0000000023658;45.00;0.00;0000000023658;23;CD;NIKT;;;;;;27.27
AUS ROTTEN ^^^ AND NOW BACK TO OUR PROGRAMMING;0000000023665;45.00;0.00;0000000023665;23;CD;NIKT;;;;;;27.27
WŁOCHATY ^^^ ***DELETED*** ZMOWA;0000000024075;0.00;0.00;0000000024075;23;MC;NIKT;NiktNicNieWie;2000;24075;Punk/Rock;WYCOFANE;0.00
WŁOCHATY ^^^ ***DELETED*** WOJNA PRZECIWKO ZIEMI;0000000025225;0.00;0.00;0000000025225;23;MC;NIKT;NiktNicNieWie;1996;25225;Punk/Rock;WYCOFANE;0.00
AVAIL ^^^ LIVE AT BOTTOM OF THE HILL IN SAN FRANCISCO;0000000025393;65.00;1.00;0000000025393;23;CD;NIKT;Lookout Records;1998;LK 192;Hardcore/Punk;;34.20
NKD ^^^ NA KRAWĘDZI DEPORTACJI;0000000025416;15.00;1.00;0000000025416;23;LPs;NIKT;;;;;;6.77
RESTARTS, THE ^^^ SLUMWORD;0000000025423;38.00;0.00;0000000025423;23;LP;NIKT;;;;;;22.80
PISSED ^^^ GREATEST HITS;0000000025454;30.00;0.00;0000000025454;23;LP;NIKT;;;;;;16.15
PUBLIC ^^^ ANOTHER DAY IN PARADISE;0000000025461;38.00;0.00;0000000025461;23;LP;NIKT;;;;;;22.80
NOTHING REMAINS ^^^ ! DREAM ?;0000000025492;38.00;0.00;0000000025492;23;LP;NIKT;;;;;;28.80
LESSER OF TWO ^^^ S/T;0000000025515;38.00;0.00;0000000025515;23;LP;NIKT;;;;;;22.80
OI POLLOI ^^^ FUAIM CATHA;0000000025539;47.00;1.00;0000000025539;23;LP;NIKT;Combat Rock Industry;;;;;30.21
SILNA WOLA ^^^ CHAOS;0000000025546;15.00;0.00;0000000025546;23;LP;NIKT;;;;;;8.55
URBN DK ^^^ INNOCENT VICTIMS;0000000025560;38.00;1.00;0000000025560;23;LP;NIKT;;;;;;22.80
SPECK ^^^ S/T;0000000025577;38.00;1.00;0000000025577;23;LP;NIKT;;;;;;22.80
STRAWMAN ^^^ LOTTERY;0000000025591;25.29;2.00;0000000025591;23;LP;NIKT;;;;;;19.00
V/A ^^^ YAWP! - THE WORLD ACCORDING TO YAWP!;0000000025638;30.00;1.00;0000000025638;23;LP;NIKT;;;;;;16.15
ZEMEZLUC ^^^ LIVE IN UK;0000000025645;25.29;0.00;0000000025645;23;LP;NIKT;;;;;;19.00
WIND OF PAIN ^^^ WORLDMACHINE;0000000025669;25.29;0.00;0000000025669;23;LP;NIKT;;;;;;19.00
